Mouse ID,Date,Weight,Baited Arms Retrieved,Reference Memory Errors,Working Memory Errors,Other Notes,Start Time,End Time,Video Length,File,FPS,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance,Center,ArmA,ArmB,ArmC,ArmD,ArmE,ArmF,ArmG,ArmH,avg_velocity,peak_velocity
79,7/3/2019,22,4,4,7,,7/3/2019 17:18,7/3/2019 17:20,0:02:27,2019_07_03_N79_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 4415)",6861.273692,0.13134058,0.269248188,0,0.136775362,0.192028986,0.079257246,0.104166667,0,0.088994565,0,0
80,7/3/2019,21,4,4,0,"Retrieved bait from arm F,D,A,C",7/3/2019 8:36,7/3/2019 8:38,0:01:44,2019_07_03_N80_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 3119)",3532.673573,0.076923077,0.144871795,0.053205128,0.163141026,0.154487179,0.137179487,0.216666667,0,0.054487179,0,0
87,7/5/2019,17,4,6,2,"Retrieved bait from arm D,A,C,F",7/5/2019 15:36,7/5/2019 15:37,0:01:04,2019_07_05_N87_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 1934)",4997.964031,0.124031008,0.135400517,0.126098191,0.195348837,0.097674419,0.089922481,0.133333333,0.100258398,0,0,0
90,7/5/2019,23,4,3,0,"Retrieved bait from arm A,C,D,F",7/5/2019 12:16,7/5/2019 12:18,0:01:38,2019_07_05_N90_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2934)",3075.554825,0.056558773,0.140715503,0.188074957,0.16967632,0.160817717,0.084497445,0.114139693,0,0.087563884,0,0
80,7/5/2019,23,4,6,2,"Retrieved bait from arm D,A,C,F",7/5/2019 14:19,7/5/2019 14:20,0:01:44,2019_07_05_N80_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 3122)",5216.058781,0.109189882,0.238232469,0.082292667,0.172270253,0.098623119,0.073647134,0.090617996,0.065321806,0.071085495,0,0
79,7/5/2019,24,4,2,1,"Retrieved bait from arm D,A,C,F",7/5/2019 14:10,7/5/2019 14:11,0:01:09,2019_07_05_N79_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2081)",2905.395952,0.124399616,0.194044188,0.043707973,0.275696446,0.136887608,0.060038425,0.166186359,0,0,0,0
81,7/5/2019,24,4,0,2,"Retrieved bait from arm D,B,H,F",7/5/2019 10:19,7/5/2019 10:20,0:01:12,2019_07_05_N81_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2161)",2396.739386,0.089269195,0,0.242368178,0,0.247456059,0,0.25346901,0,0.167900093,0,0
86,7/5/2019,17,4,16,7,"Retrieved bait from arm D,A,C,F",7/5/2019 15:14,7/5/2019 15:16,0:02:50,2019_07_05_N86_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 5106)",11390.7114,0.192089289,0.111024085,0.082631682,0.069904053,0.167025651,0.111415704,0.053456041,0.087918543,0.128842765,0,0
84,7/5/2019,21,4,13,5,"Retrieved bait from arm D,F,H,B",7/5/2019 12:01,7/5/2019 12:04,0:03:20,2019_07_05_N84_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 6003)",10443.48327,0.109926716,0.118754164,0.052798135,0.093271153,0.085942705,0.184043971,0.089273817,0.099433711,0.168221186,0,0
85,7/5/2019,18,4,6,3,"Retrieved bait from arm A, D, F, C",7/5/2019 14:48,7/5/2019 14:50,0:02:01,2019_07_05_N85_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 3644)",6199.723454,0.103978052,0.279561043,0.083127572,0.146502058,0.12345679,0.050754458,0.099314129,0.075720165,0.038683128,0,0
78,7/5/2019,23,4,12,0,"Retrieved bait from arm A,D,F,C",7/5/2019 13:47,7/5/2019 13:49,0:02:26,2019_07_05_N78_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 4367)",7312.8674,0.144688645,0.108745421,0.185210623,0.058608059,0.080586081,0.174679487,0.064102564,0.105082418,0.080357143,0,0
82,7/5/2019,22,4,7,4,"Retrieved bait from arm H,F,D,B",7/5/2019 11:33,7/5/2019 11:35,0:02:41,2019_07_05_N82_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 4830)",7385.392045,0.142827572,0.0705858,0.073897744,0.109915131,0.164769199,0.032084455,0.175947009,0.059821983,0.173463051,0,0
83,7/5/2019,23,4,3,2,"Retrieved bait from arm B,H,F,D",7/5/2019 11:47,7/5/2019 11:48,0:01:07,2019_07_05_N83_BDFH_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 1999)",3529.43325,0.112,0,0.1865,0.0975,0.177,0.0525,0.1575,0.06,0.1595,0,0
98,7/5/2019,22,4,9,1,"Retrieved bait from arm A,C,D,F",7/5/2019 12:25,7/5/2019 12:27,0:01:42,2019_07_05_N98_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 3057)",5827.245298,0.105951602,0.155657292,0.128842381,0.11706998,0.119032047,0.125572269,0.076847613,0.104970569,0.068345324,0,0
98,7/8/2019,20,4,2,0,"Retrieved bait from arm C,F,D,A",7/8/2019 11:30,7/8/2019 11:31,0:01:09,2019_07_08_N98_ACDF_EB1_Trial1.avi,30,99.9,TRUE,0.95,30,0,all,"(0, 2062)",2468.065068,0.047503635,0.116335434,0.060591372,0.21376636,0.246243335,0,0.232186137,0,0.083858459,0,0
